Office,Parish,"Dukakis & Bentsen Democratic Party (DEM)","Bush & Quayle Republican Party (REP)","Duke & Parker Independent Populist (OTH)","Paul & Marrou Libertarian Party (OTH)","LaRouche & Freeman National Economic Recovery (OTH)","Fulani & Dattner New Alliance Party (OTH)"
"Presidential Electors","Acadia","11359","11279","183","42","24","32"
"Presidential Electors","Allen","5204","3674","64","22","11","14"
"Presidential Electors","Ascension","12147","10726","219","73","35","40"
"Presidential Electors","Assumption","5610","4017","300","31","19","18"
"Presidential Electors","Avoyelles","7353","7659","460","57","39","32"
"Presidential Electors","Beauregard","4704","6466","59","25","18","13"
"Presidential Electors","Bienville","3705","3680","90","23","21","18"
"Presidential Electors","Bossier","9035","20807","135","51","30","27"
"Presidential Electors","Caddo","39204","54498","363","208","55","74"
"Presidential Electors","Calcasieu","33932","29649","302","107","44","66"
"Presidential Electors","Caldwell","1423","2997","118","12","6","3"
"Presidential Electors","Cameron","2257","1775","18","12","3","5"
"Presidential Electors","Catahoula","1916","2862","137","20","9","6"
"Presidential Electors","Claiborne","3158","3756","60","12","11","10"
"Presidential Electors","Concordia","3461","5037","201","30","17","15"
"Presidential Electors","De Soto","5366","5022","82","21","15","10"
"Presidential Electors","East Baton Rouge","59270","86791","628","496","138","261"
"Presidential Electors","East Carroll","1809","1536","88","13","4","10"
"Presidential Electors","East Feliciana","3659","3537","99","25","26","13"
"Presidential Electors","Evangeline","7693","7437","186","30","30","24"
"Presidential Electors","Franklin","3043","5520","262","30","10","10"
"Presidential Electors","Grant","2628","4402","172","27","9","7"
"Presidential Electors","Iberia","12166","15438","598","73","23","33"
"Presidential Electors","Iberville","8678","5855","200","22","42","39"
"Presidential Electors","Jackson","2842","4251","102","31","15","8"
"Presidential Electors","Jefferson","53035","110942","1783","341","144","127"
"Presidential Electors","Jefferson Davis","6799","5851","80","29","19","13"
"Presidential Electors","Lafayette","24133","36648","515","204","65","93"
"Presidential Electors","Lafourche","15013","16152","841","90","49","34"
"Presidential Electors","Lasalle","1622","4559","149","18","8","3"
"Presidential Electors","Lincoln","5427","8853","255","53","15","54"
"Presidential Electors","Livingston","9659","15779","217","52","26","10"
"Presidential Electors","Madison","2416","2334","123","23","11","4"
"Presidential Electors","Morehouse","4496","7335","251","31","14","12"
"Presidential Electors","Natchitoches","6151","7224","278","34","21","25"
"Presidential Electors","Orleans","116851","64763","1233","387","171","395"
"Presidential Electors","Ouachita","15429","33858","703","155","73","74"
"Presidential Electors","Plaquemines","3997","6084","163","25","11","13"
"Presidential Electors","Pointe Coupee","6308","4333","151","45","53","40"
"Presidential Electors","Rapides","17928","29977","743","132","59","52"
"Presidential Electors","Red River","2254","2266","48","8","5","5"
"Presidential Electors","Richland","2833","5226","191","36","18","11"
"Presidential Electors","Sabine","3532","4767","200","21","14","7"
"Presidential Electors","St. Bernard","11406","19609","598","54","36","33"
"Presidential Electors","St. Charles","7973","9685","259","27","24","27"
"Presidential Electors","St. Helena","3013","2006","85","12","13","24"
"Presidential Electors","St. James","6707","3799","144","19","17","33"
"Presidential Electors","St. John The Baptist","8366","7464","276","35","35","43"
"Presidential Electors","St. Landry","19091","15790","323","72","82","99"
"Presidential Electors","St. Martin","10148","7541","283","75","34","48"
"Presidential Electors","St. Mary","10364","11540","295","68","21","30"
"Presidential Electors","St. Tammany","15638","38334","651","123","38","39"
"Presidential Electors","Tangipahoa","13527","16669","325","79","46","42"
"Presidential Electors","Tensas","1556","1645","69","4","7","9"
"Presidential Electors","Terrebonne","12686","18745","636","80","32","33"
"Presidential Electors","Union","3210","5900","199","32","16","12"
"Presidential Electors","Vermilion","12180","9224","440","72","27","23"
"Presidential Electors","Vernon","4998","7453","240","48","12","10"
"Presidential Electors","Washington","8369","9374","260","27","30","34"
"Presidential Electors","Webster","7434","10204","108","19","20","20"
"Presidential Electors","West Baton Rouge","4686","3972","81","24","18","20"
"Presidential Electors","West Carroll","1607","3077","97","12","2","2"
"Presidential Electors","West Feliciana","2146","1854","46","29","7","7"
"Presidential Electors","Winn","2699","4165","147","26","12","8"